Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_Gain,minor,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Gain,minor,clone1,chisel_5x_acCNA,0.5059139643318142,0.20722877840823306,0.7614035087719299,0.14457831325301204,0.15584415584415584,0.15000000000000002,0.011451452472646562,0.23859649122807017,0.8559837728194726,0.14457831325301204,0.86652977412731
CN_Gain,minor,clone2,chisel_5x_acCNA,0.5455930911861824,0.2343838426711941,0.8210526315789474,0.1875,0.1935483870967742,0.19047619047619047,0.08991296725314624,0.17894736842105263,0.8976377952755905,0.1875,0.9011857707509882
CN_Gain,minor,clone3,chisel_5x_acCNA,0.5235458797753395,0.3574617403268866,0.6505263157894737,0.26286509040333794,0.2885496183206107,0.27510917030567683,0.04553111791823161,0.3494736842105263,0.7585421412300684,0.26286509040333794,0.7813233223838574
CN_Gain,minor,clone4,chisel_5x_acCNA,0.49791313421155603,0.30041279669762644,0.6508771929824562,0.20588235294117646,0.23529411764705882,0.2196078431372549,-0.003965233400010648,0.34912280701754383,0.7605321507760532,0.20588235294117646,0.7903225806451613
CN_Gain,minor,clone5,chisel_5x_acCNA,0.5442671520690924,0.3471455186639164,0.6964912280701754,0.2619047619047619,0.2920353982300885,0.27615062761506276,0.08485995879503316,0.30350877192982456,0.7964989059080962,0.2619047619047619,0.8198198198198198
CN_Gain,minor,clone6,chisel_5x_acCNA,0.5243188919182471,0.31239622435787606,0.6894736842105263,0.22580645161290322,0.25688073394495414,0.24034334763948498,0.046209986953808846,0.3105263157894737,0.7917570498915402,0.22580645161290322,0.8183856502242153
CN_Gain,minor,clone7,chisel_5x_acCNA,0.5268817204301075,0.31111341345489707,0.6912280701754386,0.2204724409448819,0.26666666666666666,0.2413793103448276,0.04973003694231304,0.3087719298245614,0.7870967741935484,0.2204724409448819,0.8261851015801355
CN_Gain,minor,clone8,chisel_5x_acCNA,0.5180837977797689,0.4277512088406442,0.58,0.30341023069207623,0.37577639751552794,0.3357380688124306,0.03372864697368383,0.42,0.6603911980440098,0.30341023069207623,0.7288181327576903
CN_Gain,minor,clone9,chisel_5x_acCNA,0.4998056743101438,0.3821878956200869,0.5894736842105263,0.27167630057803466,0.3032258064516129,0.2865853658536585,-0.0003750093752343808,0.4105263157894737,0.6963855421686747,0.27167630057803466,0.7279596977329975
CN_Gain,major,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Gain,major,clone1,chisel_5x_acCNA,0.5124452881927966,0.3291358240562647,0.6614035087719298,0.24603174603174602,0.24031007751937986,0.24313725490196078,0.025097038336789557,0.3385964912280702,0.7845804988662132,0.24603174603174602,0.7792792792792793
CN_Gain,major,clone2,chisel_5x_acCNA,0.544296788482835,0.37111383108935125,0.6894736842105263,0.3,0.27906976744186046,0.2891566265060241,0.09083536090835365,0.3105263157894737,0.8095238095238095,0.3,0.7933333333333333
CN_Gain,major,clone3,chisel_5x_acCNA,0.5327870961103107,0.5417585016975566,0.5578947368421052,0.4386792452830189,0.41150442477876104,0.4246575342465753,0.06627837437270856,0.4421052631578947,0.6540697674418605,0.4386792452830189,0.6284916201117319
CN_Gain,major,clone4,chisel_5x_acCNA,0.5207519627569337,0.5142929523058194,0.5491228070175439,0.39908256880733944,0.4084507042253521,0.40371229698375866,0.04130835983822212,0.45087719298245615,0.6330532212885154,0.39908256880733944,0.6420454545454546
CN_Gain,major,clone5,chisel_5x_acCNA,0.5204894415346591,0.5372975909404316,0.5421052631578948,0.42727272727272725,0.4104803493449782,0.4187082405345211,0.041245086034671696,0.45789473684210524,0.6304985337243402,0.42727272727272725,0.6142857142857143
CN_Gain,major,clone6,chisel_5x_acCNA,0.5249264937519689,0.5104644576607194,0.5614035087719298,0.4090909090909091,0.37850467289719625,0.3932038834951457,0.05060761112887746,0.43859649122807015,0.6713483146067416,0.4090909090909091,0.6424731182795699
CN_Gain,major,clone7,chisel_5x_acCNA,0.5325589744259213,0.5253281732765569,0.5647368421052632,0.42366224840451644,0.3976958525345622,0.4102685999524601,0.0658959583389479,0.43526315789473685,0.6674220963172804,0.42366224840451644,0.6431886431886432
CN_Gain,major,clone8,chisel_5x_acCNA,0.5382640782929569,0.6950928044749555,0.543859649122807,0.5555555555555556,0.6521739130434783,0.6,0.0772219524040797,0.45614035087719296,0.42435424354243545,0.5555555555555556,0.5251141552511416
CN_Gain,major,clone9,chisel_5x_acCNA,0.519298245614035,0.6443469785575049,0.519298245614035,0.5185185185185185,0.5403508771929825,0.5292096219931272,0.038596491228070184,0.4807017543859649,0.4982456140350877,0.5185185185185185,0.5201465201465202
CN_Neutral,minor,normal,chisel_5x_acCNA,,,1.0,1.0,1.0,1.0,,0.0,,,
CN_Neutral,minor,clone1,chisel_5x_acCNA,0.493307288330985,0.8333499625841856,0.6070175438596491,0.7368421052631579,0.7298578199052133,0.7333333333333334,-0.01326899879372756,0.3929824561403509,0.25675675675675674,0.7368421052631579,0.25
CN_Neutral,minor,clone2,chisel_5x_acCNA,0.5155240372189196,0.8447668331825542,0.6333333333333333,0.7517564402810304,0.7570754716981132,0.7544065804935369,0.0312586400377316,0.36666666666666664,0.273972602739726,0.7517564402810304,0.27972027972027974
CN_Neutral,minor,clone3,chisel_5x_acCNA,0.5366023156011357,0.7528328339321716,0.5628070175438596,0.6400898371701291,0.6532951289398281,0.6466250709018718,0.0736446140642405,0.43719298245614036,0.41990950226244345,0.6400898371701291,0.43405051449953225
CN_Neutral,minor,clone4,chisel_5x_acCNA,0.5037918954107998,0.7597258374932141,0.543859649122807,0.6465753424657534,0.6430517711171662,0.6448087431693988,0.007567133194937292,0.45614035087719296,0.3645320197044335,0.6465753424657534,0.36097560975609755
CN_Neutral,minor,clone5,chisel_5x_acCNA,0.5062561415001638,0.7467601571940656,0.5403508771929825,0.6273972602739726,0.6450704225352113,0.6361111111111111,0.012628099173553675,0.45964912280701753,0.3674418604651163,0.6273972602739726,0.3853658536585366
CN_Neutral,minor,clone6,chisel_5x_acCNA,0.5186331279218019,0.7617518927914273,0.5561403508771929,0.6485013623978202,0.6574585635359116,0.6529492455418381,0.037457783236106934,0.443859649122807,0.3798076923076923,0.6485013623978202,0.3891625615763547
CN_Neutral,minor,clone7,chisel_5x_acCNA,0.54230789501423,0.7673052817282842,0.5736842105263158,0.6592797783933518,0.664804469273743,0.6620305980528512,0.08486065779563146,0.4263157894736842,0.419811320754717,0.6592797783933518,0.4258373205741627
CN_Neutral,minor,clone8,chisel_5x_acCNA,0.5294334868900443,0.6729750029578891,0.5308771929824562,0.5558882235528942,0.5551495016611295,0.5555186170212766,0.058862321149386165,0.4691228070175439,0.5037174721189591,0.5558882235528942,0.5029695619896065
CN_Neutral,minor,clone9,chisel_5x_acCNA,0.5101683159732974,0.6724366961096594,0.5140350877192983,0.5477707006369427,0.5602605863192183,0.5539452495974235,0.020375494806854744,0.48596491228070177,0.4600760456273764,0.5477707006369427,0.47265625
CN_Neutral,major,normal,chisel_5x_acCNA,,,1.0,1.0,1.0,1.0,,0.0,,,
CN_Neutral,major,clone1,chisel_5x_acCNA,0.5120967741935484,0.8566233303098666,0.6491228070175439,0.7671232876712328,0.7741935483870968,0.7706422018348624,0.02444033682480995,0.3508771929824561,0.25,0.7671232876712328,0.25757575757575757
CN_Neutral,major,clone2,chisel_5x_acCNA,0.5347381864623244,0.8654109645035235,0.6719298245614035,0.7792792792792793,0.7954022988505747,0.7872582480091013,0.07111111111111112,0.3280701754385965,0.2740740740740741,0.7792792792792793,0.29365079365079366
CN_Neutral,major,clone3,chisel_5x_acCNA,0.5322588861578431,0.7354602512316669,0.5526315789473685,0.6164772727272727,0.6439169139465876,0.6298984034833092,0.06516509949704785,0.4473684210526316,0.4206008583690987,0.6164772727272727,0.44954128440366975
CN_Neutral,major,clone4,chisel_5x_acCNA,0.5205194805194805,0.742246946846886,0.543859649122807,0.630057803468208,0.6228571428571429,0.6264367816091954,0.04090085425834844,0.45614035087719296,0.41818181818181815,0.630057803468208,0.4107142857142857
CN_Neutral,major,clone5,chisel_5x_acCNA,0.5138456652905685,0.7200391859551691,0.531578947368421,0.5988372093023255,0.6149253731343284,0.6067746686303387,0.02785052698818269,0.46842105263157896,0.4127659574468085,0.5988372093023255,0.42920353982300885
CN_Neutral,major,clone6,chisel_5x_acCNA,0.5157792207792208,0.7461247380746949,0.5473684210526316,0.6256830601092896,0.6542857142857142,0.6396648044692738,0.03199052132701419,0.45263157894736844,0.37727272727272726,0.6256830601092896,0.4068627450980392
CN_Neutral,major,clone7,chisel_5x_acCNA,0.5193710342332097,0.742684252160394,0.5471929824561403,0.6233694143769082,0.6472622478386167,0.6350911918563552,0.0391593648604166,0.45280701754385966,0.3914798206278027,0.6233694143769082,0.41630901287553645
CN_Neutral,major,clone8,chisel_5x_acCNA,0.5435606060606061,0.6050011793247523,0.5526315789473685,0.5211267605633803,0.42045454545454547,0.46540880503144655,0.08829174664107486,0.4473684210526316,0.6666666666666666,0.5211267605633803,0.5714285714285714
CN_Neutral,major,clone9,chisel_5x_acCNA,0.5151313601596276,0.6210602621086969,0.5157894736842106,0.5056179775280899,0.4838709677419355,0.4945054945054945,0.030289581715300162,0.4842105263157895,0.5463917525773195,0.5056179775280899,0.5247524752475248
CN_Loss,minor,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_Loss,minor,clone1,chisel_5x_acCNA,0.5113042987383217,0.1963950752570342,0.7894736842105263,0.14492753623188406,0.14084507042253522,0.14285714285714288,0.022885060426845016,0.21052631578947367,0.8817635270541082,0.14492753623188406,0.8782435129740519
CN_Loss,minor,clone2,chisel_5x_acCNA,0.5304232804232805,0.2561530408299229,0.7701754385964912,0.20253164556962025,0.19047619047619047,0.19631901840490798,0.062382279816168174,0.22982456140350876,0.8703703703703703,0.20253164556962025,0.8615071283095723
CN_Loss,minor,clone3,chisel_5x_acCNA,0.4996527777777777,0.20898078529657474,0.7578947368421053,0.15714285714285714,0.12222222222222222,0.13749999999999998,-0.0007633587786259888,0.24210526315789474,0.8770833333333333,0.15714285714285714,0.842
CN_Loss,minor,clone4,chisel_5x_acCNA,0.5127865961199294,0.22154298790454396,0.7736842105263158,0.17391304347826086,0.14285714285714285,0.1568627450980392,0.027612473220661626,0.22631578947368422,0.8827160493827161,0.17391304347826086,0.8562874251497006
CN_Loss,minor,clone5,chisel_5x_acCNA,0.5409753645047762,0.3069052004545989,0.756140350877193,0.26582278481012656,0.20588235294117646,0.2320441988950276,0.0898752498449239,0.24385964912280703,0.8760683760683761,0.26582278481012656,0.835030549898167
